2025-11-07 00:13:14 | WARNING | risk_daemon | risk loop error: 'Bybit' object has no attribute 'PRIVATE_EXTRA_KEYS'
2025-11-07 00:43:15 | WARNING | risk_daemon | risk loop error: 'Bybit' object has no attribute 'PRIVATE_EXTRA_KEYS'
2025-11-07 01:13:16 | WARNING | risk_daemon | risk loop error: 'Bybit' object has no attribute 'PRIVATE_EXTRA_KEYS'
2025-11-07 01:43:17 | WARNING | risk_daemon | risk loop error: 'Bybit' object has no attribute 'PRIVATE_EXTRA_KEYS'
2025-11-07 02:13:17 | WARNING | risk_daemon | risk loop error: 'Bybit' object has no attribute 'PRIVATE_EXTRA_KEYS'
2025-11-07 02:43:18 | WARNING | risk_daemon | risk loop error: 'Bybit' object has no attribute 'PRIVATE_EXTRA_KEYS'
2025-11-07 03:13:19 | WARNING | risk_daemon | risk loop error: 'Bybit' object has no attribute 'PRIVATE_EXTRA_KEYS'
2025-11-07 03:43:20 | WARNING | risk_daemon | risk loop error: 'Bybit' object has no attribute 'PRIVATE_EXTRA_KEYS'
2025-11-07 04:13:21 | WARNING | risk_daemon | risk loop error: 'Bybit' object has no attribute 'PRIVATE_EXTRA_KEYS'
2025-11-07 04:43:22 | WARNING | risk_daemon | risk loop error: 'Bybit' object has no attribute 'PRIVATE_EXTRA_KEYS'
2025-11-07 05:13:23 | WARNING | risk_daemon | risk loop error: 'Bybit' object has no attribute 'PRIVATE_EXTRA_KEYS'
2025-11-07 05:43:24 | WARNING | risk_daemon | risk loop error: 'Bybit' object has no attribute 'PRIVATE_EXTRA_KEYS'
2025-11-07 06:13:24 | WARNING | risk_daemon | risk loop error: 'Bybit' object has no attribute 'PRIVATE_EXTRA_KEYS'
2025-11-07 06:43:25 | WARNING | risk_daemon | risk loop error: 'Bybit' object has no attribute 'PRIVATE_EXTRA_KEYS'
2025-11-07 07:13:26 | WARNING | risk_daemon | risk loop error: 'Bybit' object has no attribute 'PRIVATE_EXTRA_KEYS'
2025-11-07 07:43:28 | WARNING | risk_daemon | risk loop error: 'Bybit' object has no attribute 'PRIVATE_EXTRA_KEYS'
2025-11-07 08:13:29 | WARNING | risk_daemon | risk loop error: 'Bybit' object has no attribute 'PRIVATE_EXTRA_KEYS'
2025-11-07 08:43:30 | WARNING | risk_daemon | risk loop error: 'Bybit' object has no attribute 'PRIVATE_EXTRA_KEYS'
2025-11-07 09:13:31 | WARNING | risk_daemon | risk loop error: 'Bybit' object has no attribute 'PRIVATE_EXTRA_KEYS'
2025-11-07 09:43:32 | WARNING | risk_daemon | risk loop error: 'Bybit' object has no attribute 'PRIVATE_EXTRA_KEYS'
2025-11-07 10:13:32 | WARNING | risk_daemon | risk loop error: 'Bybit' object has no attribute 'PRIVATE_EXTRA_KEYS'
2025-11-07 10:43:34 | WARNING | risk_daemon | risk loop error: 'Bybit' object has no attribute 'PRIVATE_EXTRA_KEYS'
2025-11-07 11:13:35 | WARNING | risk_daemon | risk loop error: 'Bybit' object has no attribute 'PRIVATE_EXTRA_KEYS'
2025-11-07 11:43:35 | WARNING | risk_daemon | risk loop error: 'Bybit' object has no attribute 'PRIVATE_EXTRA_KEYS'
2025-11-07 12:13:36 | WARNING | risk_daemon | risk loop error: 'Bybit' object has no attribute 'PRIVATE_EXTRA_KEYS'
2025-11-07 12:43:37 | WARNING | risk_daemon | risk loop error: 'Bybit' object has no attribute 'PRIVATE_EXTRA_KEYS'
2025-11-07 13:13:38 | WARNING | risk_daemon | risk loop error: 'Bybit' object has no attribute 'PRIVATE_EXTRA_KEYS'
2025-11-07 13:43:39 | WARNING | risk_daemon | risk loop error: 'Bybit' object has no attribute 'PRIVATE_EXTRA_KEYS'
2025-11-07 14:13:39 | WARNING | risk_daemon | risk loop error: 'Bybit' object has no attribute 'PRIVATE_EXTRA_KEYS'
2025-11-07 14:43:41 | WARNING | risk_daemon | risk loop error: 'Bybit' object has no attribute 'PRIVATE_EXTRA_KEYS'
2025-11-07 15:13:42 | WARNING | risk_daemon | risk loop error: 'Bybit' object has no attribute 'PRIVATE_EXTRA_KEYS'
2025-11-07 15:43:42 | WARNING | risk_daemon | risk loop error: 'Bybit' object has no attribute 'PRIVATE_EXTRA_KEYS'
2025-11-07 16:13:43 | WARNING | risk_daemon | risk loop error: 'Bybit' object has no attribute 'PRIVATE_EXTRA_KEYS'
2025-11-07 16:43:45 | WARNING | risk_daemon | risk loop error: 'Bybit' object has no attribute 'PRIVATE_EXTRA_KEYS'
2025-11-07 17:13:45 | WARNING | risk_daemon | risk loop error: 'Bybit' object has no attribute 'PRIVATE_EXTRA_KEYS'
2025-11-07 17:43:46 | WARNING | risk_daemon | risk loop error: 'Bybit' object has no attribute 'PRIVATE_EXTRA_KEYS'
2025-11-07 18:13:47 | WARNING | risk_daemon | risk loop error: 'Bybit' object has no attribute 'PRIVATE_EXTRA_KEYS'
2025-11-07 18:43:48 | WARNING | risk_daemon | risk loop error: 'Bybit' object has no attribute 'PRIVATE_EXTRA_KEYS'
