ts,link,symbol,account,class,edge_prob,prior_win_p
1762777660886,B44-ETHUSDT-1762777659-L|B44-sub-A?-20251110T122739,ETHUSDT,MAIN,EqualR,0.55,0.55
1762777661821,B44-BTCUSDT-1762777659-S|B44-sub-A?-20251110T122739,BTCUSDT,MAIN,EqualR,0.55,0.55
1762777662749,B44-ETHUSDT-1762777660-L|B44-sub-A?-20251110T122739,ETHUSDT,MAIN,EqualR,0.55,0.55
1762777663645,B44-BTCUSDT-1762777660-L|B44-sub-A?-20251110T122739,BTCUSDT,MAIN,EqualR,0.55,0.55
1762777664538,B44-BTCUSDT-1762777661-L|B44-sub-A?-20251110T122739,BTCUSDT,MAIN,EqualR,0.55,0.55
1762777664707,B44-ETHUSDT-1762777661-S|B44-sub-A?-20251110T122739,ETHUSDT,MAIN,EqualR,0.55,0.55
1762777665574,B44-BTCUSDT-1762777662-S|B44-sub-A?-20251110T122739,BTCUSDT,MAIN,EqualR,0.55,0.55
1762777666447,B44-BTCUSDT-1762777663-L|B44-sub-A?-20251110T122739,BTCUSDT,MAIN,EqualR,0.55,0.55
1762777667515,B44-BTCUSDT-1762777665-L|B44-sub-A?-20251110T122739,BTCUSDT,MAIN,EqualR,0.55,0.55
1762777667684,B44-ETHUSDT-1762777665-L|B44-sub-A?-20251110T122739,ETHUSDT,MAIN,EqualR,0.55,0.55
1762777668648,B44-BTCUSDT-1762777666-L|B44-sub-A?-20251110T122739,BTCUSDT,MAIN,EqualR,0.55,0.55
1762777669520,B44-ETHUSDT-1762777666-S|B44-sub-A?-20251110T122739,ETHUSDT,MAIN,EqualR,0.55,0.55
1762777670453,B44-BTCUSDT-1762777667-L|B44-sub-A?-20251110T122739,BTCUSDT,MAIN,EqualR,0.55,0.55
1762777671352,B44-BTCUSDT-1762777667-S|B44-sub-A?-20251110T122739,BTCUSDT,MAIN,EqualR,0.55,0.55
1762777672234,B44-ETHUSDT-1762777667-L|B44-sub-A?-20251110T122739,ETHUSDT,MAIN,EqualR,0.55,0.55
